Calculation1,Campus,City,County,Fall Term,Measure Names,School,Measure Values
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,4.096666667
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.817272727
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,4.0175
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,4.09
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.961666667
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.967142857
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.8325
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,4.232
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,4.01875
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,4.135
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,3.993571429
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.95
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.991666667
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,4.084
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.914
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,4.05
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.975454545
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.994
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,4.172
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,4.089090909
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.735714286
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.63
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.798888889
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,4.059
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.831875
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.785
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,3.79
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.461
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.675714286
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.736
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.485
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.59625
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.813333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.636470588
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2013,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2013,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2013,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2013,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2013,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2013,Adm GPA,FORT BRAGG HIGH SCHOOL,3.972
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2013,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2013,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2013,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2013,Adm GPA,FORT BRAGG HIGH SCHOOL,4.02375
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2013,App GPA,FORT BRAGG HIGH SCHOOL,3.804285714
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2013,App GPA,FORT BRAGG HIGH SCHOOL,4.048
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2013,App GPA,FORT BRAGG HIGH SCHOOL,4.01
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2013,App GPA,FORT BRAGG HIGH SCHOOL,3.861666667
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2013,App GPA,FORT BRAGG HIGH SCHOOL,3.896
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2012,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2012,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2012,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2012,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2012,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2012,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.932
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2012,Adm GPA,FORT BRAGG HIGH SCHOOL,3.802
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2012,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2012,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2012,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2012,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2012,Adm GPA,FORT BRAGG HIGH SCHOOL,3.927777778
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2012,App GPA,FORT BRAGG HIGH SCHOOL,3.54
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2012,App GPA,FORT BRAGG HIGH SCHOOL,3.471428571
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2012,App GPA,FORT BRAGG HIGH SCHOOL,3.751666667
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2012,App GPA,FORT BRAGG HIGH SCHOOL,3.513333333
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2012,App GPA,FORT BRAGG HIGH SCHOOL,4.013333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2012,App GPA,FORT BRAGG HIGH SCHOOL,3.704615385
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2011,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2011,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2011,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2011,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2011,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.996
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2011,Adm GPA,FORT BRAGG HIGH SCHOOL,3.956
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2011,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2011,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2011,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2011,Adm GPA,FORT BRAGG HIGH SCHOOL,3.961
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2011,App GPA,FORT BRAGG HIGH SCHOOL,3.956
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2011,App GPA,FORT BRAGG HIGH SCHOOL,3.924
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2011,App GPA,FORT BRAGG HIGH SCHOOL,3.9275
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2011,App GPA,FORT BRAGG HIGH SCHOOL,3.974444444
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2011,App GPA,FORT BRAGG HIGH SCHOOL,3.915833333
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2010,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2010,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2010,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2010,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2010,Adm GPA,FORT BRAGG HIGH SCHOOL,3.822
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2010,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2010,Adm GPA,FORT BRAGG HIGH SCHOOL,4.036
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2010,Adm GPA,FORT BRAGG HIGH SCHOOL,3.836363636
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2010,App GPA,FORT BRAGG HIGH SCHOOL,3.665714286
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2010,App GPA,FORT BRAGG HIGH SCHOOL,3.987142857
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2010,App GPA,FORT BRAGG HIGH SCHOOL,3.85375
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2010,App GPA,FORT BRAGG HIGH SCHOOL,3.779166667
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2009,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2009,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2009,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2009,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2009,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2009,Adm GPA,FORT BRAGG HIGH SCHOOL,3.91375
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2009,App GPA,FORT BRAGG HIGH SCHOOL,4.098
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2009,App GPA,FORT BRAGG HIGH SCHOOL,4.098
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2009,App GPA,FORT BRAGG HIGH SCHOOL,3.91375
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2008,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.758888889
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.93
