Calculation1,Campus,City,County,Fall Term,Measure Names,School,Measure Values
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.972
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2008,Adm GPA,FORT BRAGG HIGH SCHOOL,3.755333333
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.783
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.826666667
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.746666667
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.801428571
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2008,App GPA,FORT BRAGG HIGH SCHOOL,3.71125
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2007,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2007,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2007,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2007,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2007,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2007,Adm GPA,FORT BRAGG HIGH SCHOOL,3.875555556
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2007,App GPA,FORT BRAGG HIGH SCHOOL,3.54
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2007,App GPA,FORT BRAGG HIGH SCHOOL,4.018333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2007,App GPA,FORT BRAGG HIGH SCHOOL,3.834545455
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2006,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,3.768
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,3.768
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2006,Adm GPA,FORT BRAGG HIGH SCHOOL,3.615555556
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.706666667
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.768
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.49
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2006,App GPA,FORT BRAGG HIGH SCHOOL,3.554
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2005,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2005,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2005,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2005,Adm GPA,FORT BRAGG HIGH SCHOOL,3.578571429
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2005,App GPA,FORT BRAGG HIGH SCHOOL,3.341666667
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2005,App GPA,FORT BRAGG HIGH SCHOOL,3.4875
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2004,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2004,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2004,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.825714286
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2004,Adm GPA,FORT BRAGG HIGH SCHOOL,3.821111111
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2004,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2004,Adm GPA,FORT BRAGG HIGH SCHOOL,3.788333333
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2004,App GPA,FORT BRAGG HIGH SCHOOL,3.740909091
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2004,App GPA,FORT BRAGG HIGH SCHOOL,3.767142857
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2004,App GPA,FORT BRAGG HIGH SCHOOL,3.783076923
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2003,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2003,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2003,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2003,Adm GPA,FORT BRAGG HIGH SCHOOL,4.038
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2003,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2003,Adm GPA,FORT BRAGG HIGH SCHOOL,4.038
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2003,App GPA,FORT BRAGG HIGH SCHOOL,3.798333333
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2003,App GPA,FORT BRAGG HIGH SCHOOL,3.726
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2003,App GPA,FORT BRAGG HIGH SCHOOL,3.791428571
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2002,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2002,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2002,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2002,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2002,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2002,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.721666667
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2002,Adm GPA,FORT BRAGG HIGH SCHOOL,3.52
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2002,Adm GPA,FORT BRAGG HIGH SCHOOL,3.83
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2002,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2002,Adm GPA,FORT BRAGG HIGH SCHOOL,3.872857143
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2002,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2002,Adm GPA,FORT BRAGG HIGH SCHOOL,3.797333333
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2002,App GPA,FORT BRAGG HIGH SCHOOL,3.376666667
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2002,App GPA,FORT BRAGG HIGH SCHOOL,3.6575
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2002,App GPA,FORT BRAGG HIGH SCHOOL,3.755
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2002,App GPA,FORT BRAGG HIGH SCHOOL,3.648333333
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2002,App GPA,FORT BRAGG HIGH SCHOOL,3.685
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2002,App GPA,FORT BRAGG HIGH SCHOOL,3.712941176
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2001,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2001,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2001,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2001,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2001,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.621666667
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2001,Adm GPA,FORT BRAGG HIGH SCHOOL,3.701111111
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2001,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2001,Adm GPA,FORT BRAGG HIGH SCHOOL,4.134
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2001,Adm GPA,FORT BRAGG HIGH SCHOOL,3.958333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2001,Adm GPA,FORT BRAGG HIGH SCHOOL,3.839375
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2001,App GPA,FORT BRAGG HIGH SCHOOL,3.575454545
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2001,App GPA,FORT BRAGG HIGH SCHOOL,3.681666667
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2001,App GPA,FORT BRAGG HIGH SCHOOL,4.004285714
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2001,App GPA,FORT BRAGG HIGH SCHOOL,3.958333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2001,App GPA,FORT BRAGG HIGH SCHOOL,3.747222222
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2000,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2000,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2000,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2000,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2000,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.806
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2000,Adm GPA,FORT BRAGG HIGH SCHOOL,3.786666667
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2000,Adm GPA,FORT BRAGG HIGH SCHOOL,4.033333333
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2000,Adm GPA,FORT BRAGG HIGH SCHOOL,3.9125
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2000,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2000,Adm GPA,FORT BRAGG HIGH SCHOOL,3.917333333
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2000,App GPA,FORT BRAGG HIGH SCHOOL,3.786666667
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2000,App GPA,FORT BRAGG HIGH SCHOOL,3.89625
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2000,App GPA,FORT BRAGG HIGH SCHOOL,3.821818182
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2000,App GPA,FORT BRAGG HIGH SCHOOL,3.982
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2000,App GPA,FORT BRAGG HIGH SCHOOL,3.917333333
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1999,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1999,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1999,Adm GPA,FORT BRAGG HIGH SCHOOL,3.908333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1999,Adm GPA,FORT BRAGG HIGH SCHOOL,3.885
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1999,App GPA,FORT BRAGG HIGH SCHOOL,3.908333333
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1999,App GPA,FORT BRAGG HIGH SCHOOL,3.885
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1998,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1998,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1998,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1998,Adm GPA,FORT BRAGG HIGH SCHOOL,3.8625
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1998,App GPA,FORT BRAGG HIGH SCHOOL,3.804
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1998,App GPA,FORT BRAGG HIGH SCHOOL,3.760909091
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1997,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1997,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,1997,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1997,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.77
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1997,Adm GPA,FORT BRAGG HIGH SCHOOL,3.79
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1997,Adm GPA,FORT BRAGG HIGH SCHOOL,3.778
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,1997,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1997,Adm GPA,FORT BRAGG HIGH SCHOOL,3.791666667
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1997,App GPA,FORT BRAGG HIGH SCHOOL,3.707777778
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1997,App GPA,FORT BRAGG HIGH SCHOOL,3.656666667
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,1997,App GPA,FORT BRAGG HIGH SCHOOL,3.866666667
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1997,App GPA,FORT BRAGG HIGH SCHOOL,3.691428571
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1996,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.754285714
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1996,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1996,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.742222222
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1996,Adm GPA,FORT BRAGG HIGH SCHOOL,3.73625
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1996,Adm GPA,FORT BRAGG HIGH SCHOOL,3.808
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1996,Adm GPA,FORT BRAGG HIGH SCHOOL,3.803333333
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1996,App GPA,FORT BRAGG HIGH SCHOOL,3.73625
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1996,App GPA,FORT BRAGG HIGH SCHOOL,3.808
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1996,App GPA,FORT BRAGG HIGH SCHOOL,3.803333333
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1995,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.646
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1995,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.646
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1995,Adm GPA,FORT BRAGG HIGH SCHOOL,3.772857143
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1995,Adm GPA,FORT BRAGG HIGH SCHOOL,3.807
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1995,App GPA,FORT BRAGG HIGH SCHOOL,3.696
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1995,App GPA,FORT BRAGG HIGH SCHOOL,3.74
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1994,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1994,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1994,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1994,Adm GPA,FORT BRAGG HIGH SCHOOL,3.706
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1994,Adm GPA,FORT BRAGG HIGH SCHOOL,3.98
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1994,Adm GPA,FORT BRAGG HIGH SCHOOL,3.791111111
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,1994,App GPA,FORT BRAGG HIGH SCHOOL,3.706
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,1994,App GPA,FORT BRAGG HIGH SCHOOL,3.714285714
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,1994,App GPA,FORT BRAGG HIGH SCHOOL,3.656363636
